title,link,published,description,category
EU allows get-out clause in Russian gas cut deal,https://www.bbc.co.uk/news/business-62305094?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 15:26:41 GMT","EU members agree to reduce gas use, but some including Ireland, Malta and Cyprus can seek exemptions.",business
Heathrow hits back at 'bizarre' Ryanair criticism,https://www.bbc.co.uk/news/business-62295867?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 12:48:17 GMT",The boss of the UK's largest airport says Ryanair is wrong to blame airports for travel disruption.,business
Train strikes: When are they and which trains are running?,https://www.bbc.co.uk/news/business-61634959?at_medium=RSS&at_campaign=KARANGA,"Wed, 27 Jul 2022 10:21:14 GMT",Thousands of train drivers and rail workers are striking in July and August.,business
Amazon Prime subscription price raised by £1 a month,https://www.bbc.co.uk/news/business-62297014?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 10:02:30 GMT",The £1-a-month rise comes after years in which the streaming service paid millions for football rights.,business
Satellite firms Eutelsat and OneWeb aim to combine operations,https://www.bbc.co.uk/news/science-environment-62306617?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 10:58:07 GMT",The French company is set to merge with the satellite firm pulled from bankruptcy by the UK government.,business
Cost of living: Walmart issues profit warning as price rises hit,https://www.bbc.co.uk/news/business-62301316?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 04:06:17 GMT",The US retail giant expects its annual profits to fall by up to 13% as food and fuel prices surge.,business
Convenience store spy cameras face legal challenge,https://www.bbc.co.uk/news/uk-england-62297546?at_medium=RSS&at_campaign=KARANGA,"Mon, 25 Jul 2022 23:03:24 GMT","Big Brother Watch campaigners says the ""Orwellian"" cameras at Southern Co-op shops breach people's rights.",business
Train strikes: People told not to travel by rail during walkouts,https://www.bbc.co.uk/news/business-62291452?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 07:38:11 GMT","Only 20% of services will run and some places will have no trains on Wednesday, Network Rail says.",business
Ukraine war: Russia waging gas war with Nord Stream 1 cuts - Zelensky,https://www.bbc.co.uk/news/world-europe-62300684?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 05:48:04 GMT",Ukraine's president accuses Moscow of using gas restrictions to inflict misery on ordinary Europeans.,business
Fear prevents workers reporting low pay - report,https://www.bbc.co.uk/news/uk-politics-62295472?at_medium=RSS&at_campaign=KARANGA,"Mon, 25 Jul 2022 15:43:27 GMT","Employers get away with breaking minimum wage laws by intimidating staff, the Low Pay Commission says.",business
Ryanair boss hits out at airports: 'They had one job',https://www.bbc.co.uk/news/business-62289056?at_medium=RSS&at_campaign=KARANGA,"Mon, 25 Jul 2022 09:26:59 GMT",Neil Sorahan says airports have not recruited enough staff to cater for the rebound in travellers.,business
Evergrande: Crisis-hit property giant faces deadline after bosses quit,https://www.bbc.co.uk/news/business-62287685?at_medium=RSS&at_campaign=KARANGA,"Mon, 25 Jul 2022 04:24:53 GMT",The Chinese property firm is expected to deliver a preliminary restructuring plan this week.,business
Digital India: How India's digital revolution is connecting millions,https://www.bbc.co.uk/news/world-asia-india-62262512?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 00:44:04 GMT",Access to the internet has transformed the lives of millions in India.,business
Football kit sales delayed as supply chain issues hit clubs,https://www.bbc.co.uk/news/business-62256634?at_medium=RSS&at_campaign=KARANGA,"Mon, 25 Jul 2022 12:49:28 GMT",Fewer than half of English clubs have both their home and away kits on sale ahead of the new season.,business
Eurotunnel and Dover queues: Drivers warned of summer of Channel traffic delays,https://www.bbc.co.uk/news/uk-62289432?at_medium=RSS&at_campaign=KARANGA,"Mon, 25 Jul 2022 14:31:17 GMT","This weekend is expected to be ""very busy"" as holidaymakers look to get away to the continent.",business
Elon Musk denies affair with Google co-founder Sergey Brin's wife,https://www.bbc.co.uk/news/business-62288139?at_medium=RSS&at_campaign=KARANGA,"Mon, 25 Jul 2022 09:44:07 GMT",The technology multi-billionaire's comments came in response to a report in the Wall Street Journal.,business
France energy: Air-conditioned shops will be told to shut doors to cut waste,https://www.bbc.co.uk/news/world-europe-62286924?at_medium=RSS&at_campaign=KARANGA,"Sun, 24 Jul 2022 19:28:11 GMT",New rules will force shops to keep doors shut when air conditioning is on and limit use of neon signs.,business
Gazprom: Nord Stream 1 supply to EU to be cut further,https://www.bbc.co.uk/news/business-62291458?at_medium=RSS&at_campaign=KARANGA,"Mon, 25 Jul 2022 21:18:48 GMT",Gazprom announces another drastic cut in supplies as the EU tries to replenish stores for winter.,business
Eurotunnel queues: AA says holiday gridlock easing,https://www.bbc.co.uk/news/uk-62281443?at_medium=RSS&at_campaign=KARANGA,"Sun, 24 Jul 2022 18:19:28 GMT","Waiting times at the Eurotunnel terminal are ""falling steadily"", the AA says after three days of delays.",business
Ukraine war: Russia denies causing global food crisis,https://www.bbc.co.uk/news/world-middle-east-62284377?at_medium=RSS&at_campaign=KARANGA,"Sun, 24 Jul 2022 17:34:40 GMT","Its foreign minister, who is in Egypt, says the West is distorting the truth as the Ukraine war rages.",business
Rail strikes to go ahead next Wednesday,https://www.bbc.co.uk/news/uk-62272544?at_medium=RSS&at_campaign=KARANGA,"Mon, 25 Jul 2022 10:22:51 GMT",The RMT union says walkouts across the network will happen after talks failed to find a breakthrough.,business
Truss tax plans accused of breaking spending rules,https://www.bbc.co.uk/news/business-62255081?at_medium=RSS&at_campaign=KARANGA,"Thu, 21 Jul 2022 15:40:18 GMT","Tax cut plans mean higher borrowing or lower public spending, or both, says the Institute for Fiscal Studies.",business
British Airways staff call off Heathrow strike after 8% pay rise deal,https://www.bbc.co.uk/news/business-62267324?at_medium=RSS&at_campaign=KARANGA,"Fri, 22 Jul 2022 14:29:03 GMT",Hundreds of staff at Heathrow were set to strike over the busy summer holiday period.,business
"Russia 'looting' steel bound for Europe and UK, says Metinvest boss",https://www.bbc.co.uk/news/business-62252704?at_medium=RSS&at_campaign=KARANGA,"Thu, 21 Jul 2022 23:01:33 GMT",A Ukrainian steel boss accuses Russia of stealing metal that had been meant for Europe.,business
Twitter spent $33m in three months on Elon Musk deal,https://www.bbc.co.uk/news/technology-62265756?at_medium=RSS&at_campaign=KARANGA,"Fri, 22 Jul 2022 12:55:36 GMT",The social network also reported losses in its latest financial figures.,business
Cyber-attacks on Port of Los Angeles have doubled since pandemic,https://www.bbc.co.uk/news/business-62260272?at_medium=RSS&at_campaign=KARANGA,"Fri, 22 Jul 2022 11:00:10 GMT",The threats to the Port of Los Angeles are believed to come mainly from Europe and Russia.,business
Elon Musk's Tesla sells most of its Bitcoin holdings,https://www.bbc.co.uk/news/business-62246367?at_medium=RSS&at_campaign=KARANGA,"Thu, 21 Jul 2022 03:07:55 GMT",The announcement comes as the value of the world's biggest cryptocurrency has plunged.,business
Snapchat owner hit as advertising slump hits sales,https://www.bbc.co.uk/news/business-62261104?at_medium=RSS&at_campaign=KARANGA,"Fri, 22 Jul 2022 09:16:31 GMT",The California-based company is best known for the photo-sharing app Snapchat.,business
Eurozone raises interest rates for first time in 11 years,https://www.bbc.co.uk/news/business-62240730?at_medium=RSS&at_campaign=KARANGA,"Thu, 21 Jul 2022 16:26:43 GMT",The European Central Bank has raised rates as it tries to tackle soaring eurozone inflation.,business
Nord Stream: Key Russian pipeline resumes pumping gas to Europe,https://www.bbc.co.uk/news/world-europe-62249015?at_medium=RSS&at_campaign=KARANGA,"Thu, 21 Jul 2022 16:23:08 GMT",There had been fears Moscow would not restart flows in response to sanctions over the Ukraine war.,business
China ride-hailing giant Didi fined $1.2bn after probe,https://www.bbc.co.uk/news/business-62248513?at_medium=RSS&at_campaign=KARANGA,"Thu, 21 Jul 2022 06:59:51 GMT",The country's cyber security watchdog launched a probe into the firm just days after its US listing.,business
Refuelling staff to stage three-day strike at Heathrow,https://www.bbc.co.uk/news/business-62219559?at_medium=RSS&at_campaign=KARANGA,"Tue, 19 Jul 2022 17:01:40 GMT",Workers employed by Aviation Fuel Services will walk out on Thursday and down tools until Sunday.,business
Baidu unveils new self-driving taxi in China,https://www.bbc.co.uk/news/technology-62237612?at_medium=RSS&at_campaign=KARANGA,"Thu, 21 Jul 2022 02:06:59 GMT",Baidu says its latest robo-taxi has the road skills of a driver with 20 years' experience.,business
Payouts for victims of sweepstake with no winners,https://www.bbc.co.uk/news/business-62207022?at_medium=RSS&at_campaign=KARANGA,"Tue, 19 Jul 2022 08:08:39 GMT",Thousands of victims enticed to pay a fee for a cash prize that never came will now get some good news.,business
Netflix trials charging $2.99 for shared accounts,https://www.bbc.co.uk/news/business-62226905?at_medium=RSS&at_campaign=KARANGA,"Tue, 19 Jul 2022 16:14:47 GMT",The streaming service is looking for new ways to make money as it loses subscribers.,business
EU told to prepare for Russian gas shut-off,https://www.bbc.co.uk/news/business-62230201?at_medium=RSS&at_campaign=KARANGA,"Wed, 20 Jul 2022 14:37:21 GMT","Countries urged to cut use by 15% until March, with the target becoming mandatory if Russia halts supplies.",business
Sizewell C nuclear plant gets go-ahead from government,https://www.bbc.co.uk/news/uk-england-suffolk-62235221?at_medium=RSS&at_campaign=KARANGA,"Wed, 20 Jul 2022 16:12:37 GMT",The Sizewell C plant is expected to cost £20bn and could provide the UK with 7% of its electricity.,business
Samsung did not break rules over woman running at 2am advert,https://www.bbc.co.uk/news/newsbeat-62221314?at_medium=RSS&at_campaign=KARANGA,"Wed, 20 Jul 2022 11:53:35 GMT","People complained that the ""irresponsible"" smart watch advert encouraged unsafe behaviour.",business
US seizes stolen funds from suspected North Korean hackers,https://www.bbc.co.uk/news/technology-62239638?at_medium=RSS&at_campaign=KARANGA,"Wed, 20 Jul 2022 13:16:29 GMT",The Department of Justice has already returned ransom payments to two hospitals.,business
Trains cancelled and delayed after heatwave damage,https://www.bbc.co.uk/news/business-62234461?at_medium=RSS&at_campaign=KARANGA,"Wed, 20 Jul 2022 16:12:31 GMT",Disruption has continued on Wednesday as repair work takes place across the UK's rail network.,business
Twitter-Musk takeover dispute heading for October trial,https://www.bbc.co.uk/news/world-us-canada-62058387?at_medium=RSS&at_campaign=KARANGA,"Tue, 19 Jul 2022 19:56:31 GMT",Twitter hopes that the trial will end with a court order for Musk to complete a $44bn takeover bid.,business
Royal Mail workers vote to go on strike over pay,https://www.bbc.co.uk/news/business-62219565?at_medium=RSS&at_campaign=KARANGA,"Tue, 19 Jul 2022 19:33:02 GMT","If 115,000 staff strike, it could be the biggest ever action by the Communication Workers Union.",business
Luxury brand Manolo Blahnik wins right to use own name in China,https://www.bbc.co.uk/news/business-62232633?at_medium=RSS&at_campaign=KARANGA,"Wed, 20 Jul 2022 07:02:00 GMT",The UK-based luxury shoemaker has not operated in the world's second largest economy for over 20 years.,business
Could the Great Lakes solve US shipping woes?,https://www.bbc.co.uk/news/world-us-canada-62157479?at_medium=RSS&at_campaign=KARANGA,"Wed, 27 Jul 2022 00:19:06 GMT",Inland ports along the Great Lakes are helping to fill the gap in supply-chain disruption.,business
A mind-reading combat jet for the future,https://www.bbc.co.uk/news/business-62289737?at_medium=RSS&at_campaign=KARANGA,"Mon, 25 Jul 2022 23:25:30 GMT",The Tempest fighter jet will have artificial intelligence tech to monitor and help the pilot.,business
The tech helping to bring you your morning coffee,https://www.bbc.co.uk/news/business-62235741?at_medium=RSS&at_campaign=KARANGA,"Sun, 24 Jul 2022 23:15:44 GMT","How Brazil, the world's largest grower of coffee, is turning to technology to boost production.",business
Airport workers on travel problems,https://www.bbc.co.uk/news/uk-62169701?at_medium=RSS&at_campaign=KARANGA,"Fri, 22 Jul 2022 23:09:17 GMT","Pilots, flight attendants and a baggage handler tell us what is happening where they work.",business
Whisky makers are turning their backs on peat,https://www.bbc.co.uk/news/business-61596047?at_medium=RSS&at_campaign=KARANGA,"Thu, 21 Jul 2022 23:05:04 GMT",Burning peat has long been a way of adding flavour to whisky but some are now rejected that process.,business
The allotment firms helping to trim long waiting lists,https://www.bbc.co.uk/news/business-62220162?at_medium=RSS&at_campaign=KARANGA,"Wed, 20 Jul 2022 23:02:22 GMT","As people have to wait years to get a council allotment, private firms are offering an alternative.",business
'I looked at the prices in London... and chose Leeds',https://www.bbc.co.uk/news/business-62222589?at_medium=RSS&at_campaign=KARANGA,"Tue, 19 Jul 2022 23:02:42 GMT","Morten Toft Tech, founder of Meatless Farm, which makes plant-based meat alternative food, shares his business advice.",business
Why do companies get involved in social issues?,https://www.bbc.co.uk/news/business-62139217?at_medium=RSS&at_campaign=KARANGA,"Tue, 19 Jul 2022 23:03:52 GMT",Firms are getting more vocal on social issues but why now and what do customers and employees want?,business
Price rises: Why a simple lunch is costing more in Asia-Pacific,https://www.bbc.co.uk/news/62160733?at_medium=RSS&at_campaign=KARANGA,"Mon, 18 Jul 2022 23:38:04 GMT","From Singapore, to Seoul, to Sydney - how the cost of living affects lunch hour.",business
Cost of living: Will this mean more home grown fruit and veg?,https://www.bbc.co.uk/news/uk-wales-62206677?at_medium=RSS&at_campaign=KARANGA,"Tue, 19 Jul 2022 05:19:54 GMT",Rising prices for fruit and vegetables could mean more farm jobs and more people growing their own.,business
Firms 'going to war' against rivals on social media,https://www.bbc.co.uk/news/business-62161520?at_medium=RSS&at_campaign=KARANGA,"Sun, 17 Jul 2022 23:10:08 GMT",The boss of a high-tech monitoring company says some retailers are spreading lies about competitors.,business
"83, Samrat Prithviraj: Why Bollywood's big films are flopping at the box office",https://www.bbc.co.uk/news/world-asia-india-62145780?at_medium=RSS&at_campaign=KARANGA,"Sun, 17 Jul 2022 23:53:47 GMT","Several big-ticket films in 2022 have failed at the box office, leaving producers confused.",business
The social media lifeline amid soaring food costs,https://www.bbc.co.uk/news/business-62034982?at_medium=RSS&at_campaign=KARANGA,"Thu, 14 Jul 2022 23:12:11 GMT",Charities are using Google Maps and other social media to alert people to food clubs and community shops.,business
Former airline worker: 'It would be like going back to an ex',https://www.bbc.co.uk/news/business-61830479?at_medium=RSS&at_campaign=KARANGA,"Tue, 12 Jul 2022 23:13:05 GMT",Three people who used to work in aviation up until the Covid pandemic discuss whether they would return to the industry.,business
The firms sourcing locally to avoid global supply chain woes,https://www.bbc.co.uk/news/business-62122038?at_medium=RSS&at_campaign=KARANGA,"Wed, 13 Jul 2022 23:25:37 GMT","As worldwide supply routes are stretched, more companies are ""reshoring"" their production.",business
"Gaming time has no link with levels of wellbeing, study finds",https://www.bbc.co.uk/news/technology-62293235?at_medium=RSS&at_campaign=KARANGA,"Wed, 27 Jul 2022 02:26:37 GMT","Researchers analysed the gaming habits of 39,000 players of big titles such as Animal Crossing.",technology
Cost of living: Inside the 'foodbank' for data,https://www.bbc.co.uk/news/technology-61974877?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 18:07:28 GMT",The National Databank initiative offers free data to people struggling to pay for connectivity.,technology
"Music industry as tough as it has always been, watchdog says",https://www.bbc.co.uk/news/technology-62305395?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 16:44:36 GMT",The Competition and Markets Authority releases its latest report into the impact of streaming.,technology
Kim Kardashian and Kylie Jenner share Instagram criticism,https://www.bbc.co.uk/news/technology-62304262?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 16:11:33 GMT","Reality TV stars share post telling Instagram to ""stop trying to be TikTok"".",technology
Convenience store spy cameras face legal challenge,https://www.bbc.co.uk/news/uk-england-62297546?at_medium=RSS&at_campaign=KARANGA,"Mon, 25 Jul 2022 23:03:24 GMT","Big Brother Watch campaigners says the ""Orwellian"" cameras at Southern Co-op shops breach people's rights.",technology
Amazon Prime subscription price raised by £1 a month,https://www.bbc.co.uk/news/business-62297014?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 10:02:30 GMT",The £1-a-month rise comes after years in which the streaming service paid millions for football rights.,technology
Elon Musk denies affair with Google co-founder Sergey Brin's wife,https://www.bbc.co.uk/news/business-62288139?at_medium=RSS&at_campaign=KARANGA,"Mon, 25 Jul 2022 09:44:07 GMT",The technology multi-billionaire's comments came in response to a report in the Wall Street Journal.,technology
Google rules blocked children's diabetes app,https://www.bbc.co.uk/news/technology-62184812?at_medium=RSS&at_campaign=KARANGA,"Mon, 25 Jul 2022 00:00:51 GMT",An NHS-recommended app says Google will not permit it to send text message alerts about glucose levels.,technology
Chess robot breaks seven-year-old boy's finger during Moscow Open,https://www.bbc.co.uk/news/world-europe-62286017?at_medium=RSS&at_campaign=KARANGA,"Sun, 24 Jul 2022 15:21:06 GMT",The child was trying to make his next move at the Moscow Open when the robot grabbed him.,technology
World Cup to use drones to help protect stadiums,https://www.bbc.co.uk/news/technology-62243427?at_medium=RSS&at_campaign=KARANGA,"Fri, 22 Jul 2022 23:55:24 GMT",Venues in Qatar will be defended from potential drone attacks by the unmanned aerial vehicles.,technology
Blake Lemoine: Google fires engineer who said AI tech has feelings,https://www.bbc.co.uk/news/technology-62275326?at_medium=RSS&at_campaign=KARANGA,"Sat, 23 Jul 2022 02:20:42 GMT",Blake Lemoine went public with his beliefs that Google's breakthrough Lamda technology is sentient.,technology
Twitter spent $33m in three months on Elon Musk deal,https://www.bbc.co.uk/news/technology-62265756?at_medium=RSS&at_campaign=KARANGA,"Fri, 22 Jul 2022 12:55:36 GMT",The social network also reported losses in its latest financial figures.,technology
Tinder: Women's safety now at the heart of the app,https://www.bbc.co.uk/news/technology-62206485?at_medium=RSS&at_campaign=KARANGA,"Fri, 22 Jul 2022 03:34:04 GMT",The technology company is launching a partnership with domestic-violence campaign group No More.,technology
Abortion: YouTube removes misinformation videos,https://www.bbc.co.uk/news/technology-62264590?at_medium=RSS&at_campaign=KARANGA,"Fri, 22 Jul 2022 16:36:05 GMT",Videos promoting unsafe abortion methods and false claims are being taken down.,technology
Snapchat owner hit as advertising slump hits sales,https://www.bbc.co.uk/news/business-62261104?at_medium=RSS&at_campaign=KARANGA,"Fri, 22 Jul 2022 09:16:31 GMT",The California-based company is best known for the photo-sharing app Snapchat.,technology
UK blocks University of Manchester sensor deal with Chinese company,https://www.bbc.co.uk/news/technology-62243424?at_medium=RSS&at_campaign=KARANGA,"Sat, 23 Jul 2022 17:54:36 GMT","The proposed licensing of vision-sensing technology could be a national security risk, the government says.",technology
Elon Musk's Tesla sells most of its Bitcoin holdings,https://www.bbc.co.uk/news/business-62246367?at_medium=RSS&at_campaign=KARANGA,"Thu, 21 Jul 2022 03:07:55 GMT",The announcement comes as the value of the world's biggest cryptocurrency has plunged.,technology
Baidu unveils new self-driving taxi in China,https://www.bbc.co.uk/news/technology-62237612?at_medium=RSS&at_campaign=KARANGA,"Thu, 21 Jul 2022 02:06:59 GMT",Baidu says its latest robo-taxi has the road skills of a driver with 20 years' experience.,technology
China ride-hailing giant Didi fined $1.2bn after probe,https://www.bbc.co.uk/news/business-62248513?at_medium=RSS&at_campaign=KARANGA,"Thu, 21 Jul 2022 06:59:51 GMT",The country's cyber security watchdog launched a probe into the firm just days after its US listing.,technology
Heatwave forced Google and Oracle to shut down computers,https://www.bbc.co.uk/news/technology-62202125?at_medium=RSS&at_campaign=KARANGA,"Wed, 20 Jul 2022 16:32:36 GMT",Record temperatures meant some cooling systems failed at the firm's London data centres.,technology
US seizes stolen funds from suspected North Korean hackers,https://www.bbc.co.uk/news/technology-62239638?at_medium=RSS&at_campaign=KARANGA,"Wed, 20 Jul 2022 13:16:29 GMT",The Department of Justice has already returned ransom payments to two hospitals.,technology
Apple settles US butterfly-keyboard legal action for $50m,https://www.bbc.co.uk/news/technology-62236778?at_medium=RSS&at_campaign=KARANGA,"Wed, 20 Jul 2022 10:53:20 GMT",Apple will pay $50m (£41.6m) over claims its laptop keyboards were unresponsive and unreliable.,technology
Netflix loses almost a million subscribers,https://www.bbc.co.uk/news/business-62226912?at_medium=RSS&at_campaign=KARANGA,"Wed, 20 Jul 2022 01:26:09 GMT",Season four of the hit series Stranger Things may have helped to stem the exodus of Netflix customers.,technology
Twitter-Musk takeover dispute heading for October trial,https://www.bbc.co.uk/news/world-us-canada-62058387?at_medium=RSS&at_campaign=KARANGA,"Tue, 19 Jul 2022 19:56:31 GMT",Twitter hopes that the trial will end with a court order for Musk to complete a $44bn takeover bid.,technology
Rogers outage: Why a network upgrade pushed millions in Canada offline,https://www.bbc.co.uk/news/world-us-canada-62174477?at_medium=RSS&at_campaign=KARANGA,"Wed, 20 Jul 2022 01:06:34 GMT",A Canadian telecoms giant is under pressure to ensure a network crash felt nationwide doesn't happen again.,technology
Apple sued over Apple Pay payment system,https://www.bbc.co.uk/news/technology-62221412?at_medium=RSS&at_campaign=KARANGA,"Tue, 19 Jul 2022 11:25:10 GMT",The tech company is accused of using its monopoly in the mobile industry to fend off competition.,technology
China launches second module for its space station Heavenly Palace,https://www.bbc.co.uk/news/world-asia-china-62282862?at_medium=RSS&at_campaign=KARANGA,"Sun, 24 Jul 2022 13:37:54 GMT",Tiangong or Heavenly Palace is scheduled to be operational by the end of 2022.,technology
Hands-on with the Nothing 1 phone,https://www.bbc.co.uk/news/technology-62140444?at_medium=RSS&at_campaign=KARANGA,"Tue, 12 Jul 2022 15:29:28 GMT","UK company Nothing's first handset features hundreds of LED lights and has had 200,000 pre-orders.",technology
How streaming videos gives a Danish city hot water,https://www.bbc.co.uk/news/technology-62076634?at_medium=RSS&at_campaign=KARANGA,"Tue, 12 Jul 2022 15:59:30 GMT",A datacentre is cooling its servers while providing nearby residents with heating.,technology
Neill Blomkamp: Why I am making video game Off The Grid,https://www.bbc.co.uk/news/technology-61979994?at_medium=RSS&at_campaign=KARANGA,"Fri, 08 Jul 2022 10:39:37 GMT","The free-to-play game, featuring a narrative element, will see 150 players fight to be the last one.",technology
Ukraine war: President Zelensky's 3D projection asks tech sector for help,https://www.bbc.co.uk/news/technology-61993100?at_medium=RSS&at_campaign=KARANGA,"Fri, 01 Jul 2022 11:18:13 GMT",The Ukrainian president has been outlining his vision for the technology sector in his country.,technology
Digital India: How India's digital revolution is connecting millions,https://www.bbc.co.uk/news/world-asia-india-62262512?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 00:44:04 GMT",Access to the internet has transformed the lives of millions in India.,technology
A mind-reading combat jet for the future,https://www.bbc.co.uk/news/business-62289737?at_medium=RSS&at_campaign=KARANGA,"Mon, 25 Jul 2022 23:25:30 GMT",The Tempest fighter jet will have artificial intelligence tech to monitor and help the pilot.,technology
The tech helping to bring you your morning coffee,https://www.bbc.co.uk/news/business-62235741?at_medium=RSS&at_campaign=KARANGA,"Sun, 24 Jul 2022 23:15:44 GMT","How Brazil, the world's largest grower of coffee, is turning to technology to boost production.",technology
The YouTuber who built a career from true crime and make-up ,https://www.bbc.co.uk/news/business-61948546?at_medium=RSS&at_campaign=KARANGA,"Thu, 21 Jul 2022 23:13:41 GMT",Bailey Sarian dabbled in YouTube for years before a chance idea led to a new profession.,technology
Whisky makers are turning their backs on peat,https://www.bbc.co.uk/news/business-61596047?at_medium=RSS&at_campaign=KARANGA,"Thu, 21 Jul 2022 23:05:04 GMT",Burning peat has long been a way of adding flavour to whisky but some are now rejected that process.,technology
Aerospace electrified by new technology,https://www.bbc.co.uk/news/business-62120130?at_medium=RSS&at_campaign=KARANGA,"Mon, 18 Jul 2022 23:01:11 GMT",Electric and hybrid aircraft are under development which could cut the need for jet fuel.,technology
Firms 'going to war' against rivals on social media,https://www.bbc.co.uk/news/business-62161520?at_medium=RSS&at_campaign=KARANGA,"Sun, 17 Jul 2022 23:10:08 GMT",The boss of a high-tech monitoring company says some retailers are spreading lies about competitors.,technology
The social media lifeline amid soaring food costs,https://www.bbc.co.uk/news/business-62034982?at_medium=RSS&at_campaign=KARANGA,"Thu, 14 Jul 2022 23:12:11 GMT",Charities are using Google Maps and other social media to alert people to food clubs and community shops.,technology
Can the right smell make you more productive?,https://www.bbc.co.uk/news/business-61708789?at_medium=RSS&at_campaign=KARANGA,"Mon, 11 Jul 2022 23:13:34 GMT",With more people working from home there's growing interest in making the home smell better.,technology
